case_name,take_profit,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual,signal_rows,signal_days,latest_signal_date,latest_buy_date
pos76_sl06_dd0612_tp060,0.06,5.0324642954765775,2.030804943890823,0.3613458332569928,0.3508499591836735,0.34945544956074454,0.8054670605043105,0.1981286638426912,1.5440379402797482,1.6885045903334435,496,496,20260622,20260623
pos76_sl06_dd0612_tp070,0.07,4.989433521063257,2.019159089725055,0.36139850521262384,0.35299083061224484,0.34945544956074454,0.8054670605043105,0.1981286638426912,1.5440379402797482,1.5908994991487628,496,496,20260622,20260623
pos76_sl06_dd0612_tp080,0.08,4.786365408210667,2.030931726057989,0.3701255629640033,0.355184193877551,0.3718212730265135,0.8576462793804376,0.19795381871117768,1.5642165594907285,1.6037147738340718,496,496,20260622,20260623
pos76_sl06_dd0612_tp085,0.085,4.786365408210667,2.030931726057989,0.3701255629640033,0.355184193877551,0.3718212730265135,0.8576462793804376,0.19795381871117768,1.5642165594907285,1.6037147738340718,496,496,20260622,20260623
pos76_sl06_dd0612_tp075,0.075,4.776659914144764,2.027057018661025,0.3701066363230256,0.3511769755102042,0.3718212730265135,0.8576462793804376,0.19795381871117768,1.5642165594907285,1.6037147738340718,496,496,20260622,20260623
pos76_sl06_dd0612_tpnone,,3.956402079332387,2.0249183653769443,0.3700573273809636,0.3509590918367345,0.44787470307096405,1.0146745220820734,0.1975333940527591,1.6187553885086623,1.6531163619772524,496,496,20260622,20260623
pos76_sl06_dd0612_tp120,0.12,3.7282883470762624,1.9878831115107125,0.37005050403834755,0.350910630612245,0.3718212730265135,0.8576462793804376,0.19795381871117768,1.5642165594907285,1.6037147738340718,496,496,20260622,20260623
pos76_sl06_dd0612_tp090,0.09,3.7148273382783823,1.9963462746110532,0.3700326205180634,0.3552392489795919,0.3718212730265135,0.8576462793804376,0.19795381871117768,1.5642165594907285,1.6037147738340718,496,496,20260622,20260623
pos76_sl06_dd0612_tp150,0.15,3.7066945467318737,2.0041149233546305,0.37015273536278503,0.35090548775510194,0.44787470307096405,1.0146745220820734,0.1975333940527591,1.6187553885086623,1.6531163619772524,496,496,20260622,20260623
pos76_sl06_dd0612_tp200,0.2,3.7066945467318737,2.0041149233546305,0.37015273536278503,0.35090548775510194,0.44787470307096405,1.0146745220820734,0.1975333940527591,1.6187553885086623,1.6531163619772524,496,496,20260622,20260623
pos76_sl06_dd0612_tp100,0.1,3.696293600284909,1.9860387879791688,0.37012616730827136,0.3509235326530611,0.3718212730265135,0.8576462793804376,0.19795381871117768,1.5642165594907285,1.6037147738340718,496,496,20260622,20260623
