variant,reason,full_annual,full_sharpe,full_max_drawdown,late_min_annual
base,原始信号,3.7377111134442624,2.0352182185596295,0.3622204146151181,1.5753937257948165
drop_top_1pct,去最高 1% 代理信号 5 条,2.0221392353031544,1.6118649160422824,0.40365431995911405,1.5753937257948165
drop_top_day,去最高代理信号日 20240925,3.7377111134442624,2.0352182185596295,0.3622204146151181,1.5753937257948165
drop_top_month,去最高代理月份 202409,3.728514961820562,2.0351820386271604,0.3620961865962148,1.5753937257948165
drop_top_stock,去最高代理股票 300573.SZ,3.8114025798262308,2.040377678631864,0.3620826727773274,1.5753937257948165
