case_name,take_profit,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual,signal_rows,signal_days,latest_signal_date,latest_buy_date
pos84_dd0714_tp040,0.04,4.930756771949405,1.8118242274966652,0.3918221356772566,0.3799890591836735,-0.05227931218255592,-0.12547822888168994,0.22585807251134024,1.3289167178943615,1.5213329674758092,496,496,20260622,20260623
pos84_dd0714_tp050,0.05,5.6578341197051545,1.9127421159310043,0.3918495585927385,0.3779154122448979,0.3325462878445704,0.6810812481080011,0.2256492012556799,1.655326988843901,1.8926815237251327,496,496,20260622,20260623
pos84_dd0714_tp055,0.055,5.865060066076827,1.9360103585531092,0.3918751351221795,0.37983008571428595,0.3325462878445704,0.6810812481080011,0.2256492012556799,1.655326988843901,1.986541374426805,496,496,20260622,20260623
pos84_dd0714_tp060,0.06,6.673641818067475,1.9584660785062948,0.39191506659960795,0.38681572448979595,0.3325462878445704,0.6810812481080011,0.2256492012556799,1.655326988843901,1.986541374426805,496,496,20260622,20260623
pos84_dd0714_tp065,0.065,6.263567012962782,1.9101221548754639,0.39191506659960795,0.38927677755102075,0.3325462878445704,0.6810812481080011,0.2256492012556799,1.655326988843901,1.8665055565892341,496,496,20260622,20260623
pos84_dd0714_tp070,0.07,5.676629219123758,1.884401911302296,0.39186654937173715,0.3868313306122451,0.3325462878445704,0.6810812481080011,0.2256492012556799,1.655326988843901,1.8665055565892341,496,496,20260622,20260623
pos84_dd0714_tp080,0.08,6.118645212720172,1.9525860809959417,0.40117211181810464,0.3947096346938775,0.35587135756898947,0.7288901432762607,0.22545904525905766,1.6754478000456996,1.8779207880495898,496,496,20260622,20260623
pos84_dd0714_tp100,0.1,4.657056220492048,1.9121541571075091,0.4010714944092502,0.39070953265306124,0.35587135756898947,0.7288901432762607,0.22545904525905766,1.6754478000456996,1.8779207880495898,496,496,20260622,20260623
pos84_dd0714_tp120,0.12,4.708251409110984,1.914715777219695,0.4012004286071854,0.39003802653061215,0.35587135756898947,0.7288901432762607,0.22545904525905766,1.6754478000456996,1.8779207880495898,496,496,20260622,20260623
pos84_dd0714_tpnone,,5.003187912057288,1.9462049480965111,0.40105369884961767,0.39074701632653075,0.4285770077039577,0.8611648849177879,0.22610554453159123,1.7447278332680345,1.935566171695506,496,496,20260622,20260623
