variant,reason,full_annual,full_sharpe,full_max_drawdown,late_min_annual
base,原始信号,6.673641818067475,1.9584660785062948,0.39191506659960795,1.655326988843901
drop_top_1pct,去最高 1% 代理信号 5 条,5.979357264614758,1.9075818493034309,0.39191506659960795,1.655326988843901
drop_top_day,去最高代理信号日 20240925,6.673641818067475,1.9584660785062948,0.39191506659960795,1.655326988843901
drop_top_month,去最高代理月份 202409,6.124169868797028,1.9467427815882068,0.3919352385715175,1.655326988843901
drop_top_stock,去最高代理股票 300573.SZ,6.6494720140748,1.9581315555836245,0.3919499186089549,1.655326988843901
