case_name,dd_risk_mode,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual,signal_rows,signal_days,latest_signal_date,latest_buy_date
tp060_pos84_dd0509_s7050,1,0.05,0.09,0.03,0.7,0.5,4.349893217790779,1.927735322016096,0.3618369394067878,0.3466091285714288,0.5100306547841207,1.126835661430797,0.19055246751058819,1.3174292787030715,1.732789486852097,496,496,20260622,20260623
tp060_pos84_dd0510_s8060,1,0.05,0.1,0.03,0.8,0.6,5.297216599906052,1.9084982214735826,0.3922437033920133,0.3731169653061224,0.4052544824545611,0.8387373013027273,0.21193045297582114,1.620503412418675,1.8262593206384623,496,496,20260622,20260623
tp060_pos84_dd0612_s8060,1,0.06,0.12,0.03,0.8,0.6,5.865558892972139,1.9274288725019693,0.39702989546550477,0.3776281551020408,0.37863572876987905,0.778451418012333,0.21697485119321228,1.593322262144662,1.7992617014009107,496,496,20260622,20260623
tp060_pos84_dd0612_s8565,1,0.06,0.12,0.03,0.85,0.65,6.393065469818912,1.9244093394208575,0.41106758682801403,0.3906203142857146,0.34643189079841,0.6967074231495441,0.22429013839156395,1.6932837638683977,1.9293233713035278,496,496,20260622,20260623
tp060_pos84_dd0714_s8060,1,0.07,0.14,0.04,0.8,0.6,6.673641818067475,1.9584660785062948,0.39191506659960795,0.38681572448979595,0.3325462878445704,0.6810812481080011,0.2256492012556799,1.655326988843901,1.986541374426805,496,496,20260622,20260623
tp060_pos84_dd0814_s8565,1,0.08,0.14,0.04,0.85,0.65,7.157548760826231,1.967689674851646,0.41107949563343243,0.3997686510204081,0.34643189079841,0.6967074231495441,0.22429013839156395,1.7088258422956564,2.0164618743024447,496,496,20260622,20260623
tp060_pos84_no_dd,0,,,,,,8.852979203372886,1.8669815462026211,0.5234552214876274,0.4557247775510203,0.7160195956673393,1.2702371173308218,0.2707494335117171,1.7144536465301246,2.0640291717096972,496,496,20260622,20260623
