signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,atr_ratio,holding_days,target_pct,source_manifest,source_table,note
20240719,20240722,SZSE.002607,002607.SZ,中公教育,1,0.9637119637119637,0.07058823942484199,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
20260608,20260609,SHSE.603538,603538.SH,美诺华,1,0.9787851314596555,0.09334449021627186,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
20260609,20260610,SZSE.300164,300164.SZ,通源石油,1,0.9941976427923844,0.08890122086570477,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
20260610,20260611,SZSE.300164,300164.SZ,通源石油,1,0.9934687953555879,0.08894444444444444,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
20260611,20260612,SZSE.300164,300164.SZ,通源石油,1,0.9932849364791289,0.08884657236126224,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
20260612,20260615,SZSE.002342,002342.SZ,巨力索具,1,0.9999985483578299,0.0961543756145526,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
20260615,20260616,SZSE.300164,300164.SZ,通源石油,1,0.9916454776607337,0.08377337733773377,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
20260618,20260622,SHSE.603311,603311.SH,金海高科,1,0.9932812783729799,0.09262759924385633,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
20260622,20260623,SHSE.688170,688170.SH,德龙激光,1,0.9950998185117967,0.09953908984830805,5,0.98,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/prod_liq_prime_one_v20260612_l4_formal.json,stock_predict_data_model_agent_5d_topgate_fusion_20260622_executable_5d_open_return_research,??formal L4????????Top1??????/ST/??/???????????????????
