variant,reason,full_annual,full_sharpe,full_max_drawdown,late_min_annual
base,原始信号,6.61975206940167,1.9677640823602742,0.3690872299196546,1.6728645483294133
drop_top_1pct,去最高 1% 代理信号 5 条,5.88758247042663,1.9197695163728365,0.3690872299196546,1.6728645483294133
drop_top_day,去最高代理信号日 20240925,6.61975206940167,1.9677640823602742,0.3690872299196546,1.6728645483294133
drop_top_month,去最高代理月份 202409,6.172767082151796,1.9563233691196096,0.36910795967039106,1.6728645483294133
drop_top_stock,去最高代理股票 300573.SZ,6.591204161376144,1.9670837689560026,0.3691372375832861,1.6728645483294133
