variant,reason,full_annual,full_sharpe,full_max_drawdown,late_min_annual
base,原始信号,4.8712844383785665,1.8425187985584124,0.3965911706056802,1.7064271196485048
drop_top_1pct,去最高 1% 代理信号 5 条,4.301784044812084,1.7873786274085925,0.3965911706056802,1.7064271196485048
drop_top_day,去最高代理信号日 20240925,4.8712844383785665,1.8425187985584124,0.3965911706056802,1.7064271196485048
drop_top_month,去最高代理月份 202409,4.58847000005734,1.8346713242950217,0.39657312690752927,1.7064271196485048
drop_top_stock,去最高代理股票 300573.SZ,4.852077102090702,1.8413974402944568,0.39654696237612647,1.7064271196485048
