case_name,target_pct,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual,signal_rows,signal_days,latest_signal_date,latest_buy_date
tp060_pos84,0.84,5.865558892972139,1.9274288725019693,0.39702989546550477,0.3776281551020408,0.37863572876987905,0.778451418012333,0.21697485119321228,1.593322262144662,1.7992617014009107,496,496,20260622,20260623
tp060_pos82,0.82,5.487395029640436,1.9439565428944952,0.3892926549477121,0.3707764102040813,0.3758085038962176,0.7943371029418911,0.21146794867257757,1.552672045946945,1.7190607380334086,496,496,20260622,20260623
tp060_pos80,0.8,5.098776741705904,1.9464810097827008,0.3816085979268201,0.3630682040816324,0.3629302403264336,0.7891522410458429,0.20751725322428924,1.5147332867641359,1.6615369029886247,496,496,20260622,20260623
tp060_pos76,0.76,5.0324642954765775,2.030804943890823,0.3613458332569928,0.3508499591836735,0.34945544956074454,0.8054670605043105,0.1981286638426912,1.5440379402797482,1.6885045903334435,496,496,20260622,20260623
tp060_pos78,0.78,4.9619139386891415,1.9880323953240335,0.3736835506724005,0.3559132632653061,0.35710862141746835,0.8007210658340067,0.20201029305176885,1.5853830450410475,1.691062224141443,496,496,20260622,20260623
tp060_pos74,0.74,4.888424930499354,2.0602424962277275,0.35345410170392005,0.3396263857142859,0.3495336712581932,0.830375163642108,0.19260217167944393,1.4996647160858743,1.6309731708796829,496,496,20260622,20260623
tp060_pos72,0.72,4.465771106438634,2.044163104358412,0.3455597378775001,0.3348842367346938,0.29644472811719724,0.7233862277528316,0.19609054410097876,1.1308354002472458,1.582302639606386,496,496,20260622,20260623
tp060_pos68,0.68,3.9875155948656342,2.078752359287496,0.3295252366804173,0.31730967551020384,0.2772647069654049,0.7228412219788442,0.18644616304319633,1.0649162892633566,1.4849018217970054,496,496,20260622,20260623
