variant,reason,full_annual,full_sharpe,full_max_drawdown,late_min_annual
base,原始信号,5.144622061843618,1.8205388526118542,0.396597095308004,1.7270224866120034
drop_top_1pct,去最高 1% 代理信号 5 条,4.534089414668164,1.7596767788299028,0.396597095308004,1.7270224866120034
drop_top_day,去最高代理信号日 20240925,5.144622061843618,1.8205388526118542,0.396597095308004,1.7270224866120034
drop_top_month,去最高代理月份 202409,4.845449904997784,1.8068663691377362,0.39661714002928816,1.7270224866120034
drop_top_stock,去最高代理股票 300573.SZ,5.124378765958913,1.8199268426120365,0.3965958864432362,1.7270224866120034
