case_name,dd_risk_mode,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,start_name,start,returncode,annual,pnl_ratio,sharpe,max_drawdown,win_ratio,open_count,close_count,log_file,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
pos94_sl07tp07_dd0509_s6045,1,0.05,0.09,0.03,0.6,0.45,full_20240605,2024-06-05 09:00:00,0,3.469931460950925,7.120489491102035,1.7371246998898395,0.38200785280831173,0.5891089108910891,203,202,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s6045_full_20240605.log,0.36660421020408157,0.23265306122448978,1,490
pos94_sl07tp07_dd0509_s6045,1,0.05,0.09,0.03,0.6,0.45,recent60_20260324,2026-03-24 09:00:00,0,0.5797443829821298,0.14612735132700258,1.1819321214863419,0.1873184713575268,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s6045_recent60_20260324.log,0.44467487272727274,0.32727272727272727,1,55
pos94_sl07tp07_dd0509_s6045,1,0.05,0.09,0.03,0.6,0.45,late_20250701,2025-07-01 09:00:00,0,2.700905356464216,2.649107171545724,2.368355784889568,0.18834087792514284,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s6045_late_20250701.log,0.41923627272727254,0.3246753246753247,1,231
pos94_sl07tp07_dd0509_s6045,1,0.05,0.09,0.03,0.6,0.45,late_20251009,2025-10-09 09:00:00,0,1.796180118457703,1.2696286864714723,2.3283870374086195,0.18841047969493932,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s6045_late_20251009.log,0.4301354424242424,0.34545454545454546,1,165
pos94_sl07tp07_dd0509_s6045,1,0.05,0.09,0.03,0.6,0.45,late_20260105,2026-01-05 09:00:00,0,1.3290607268310002,0.61901458509937,1.9377347592639995,0.18817643331132392,0.5957446808510638,48,47,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s6045_late_20260105.log,0.43431623809523817,0.3523809523809524,1,105
pos94_sl07tp07_dd0509_s7050,1,0.05,0.09,0.03,0.7,0.5,full_20240605,2024-06-05 09:00:00,0,5.054102253982817,10.371294762282549,1.8770238311954652,0.39660716064977325,0.5891089108910891,203,202,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s7050_full_20240605.log,0.38578017755102073,0.23469387755102042,1,490
pos94_sl07tp07_dd0509_s7050,1,0.05,0.09,0.03,0.7,0.5,recent60_20260324,2026-03-24 09:00:00,0,0.5582670723794133,0.14071389221618089,1.122179751864926,0.19731717639601587,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s7050_recent60_20260324.log,0.44978805454545456,0.32727272727272727,1,55
pos94_sl07tp07_dd0509_s7050,1,0.05,0.09,0.03,0.7,0.5,late_20250701,2025-07-01 09:00:00,0,2.9138980144809405,2.8580150388607577,2.4246976410566354,0.19827825168518995,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s7050_late_20250701.log,0.43303738095238103,0.3246753246753247,1,231
pos94_sl07tp07_dd0509_s7050,1,0.05,0.09,0.03,0.7,0.5,late_20251009,2025-10-09 09:00:00,0,1.9750731228719403,1.3960790841122208,2.445762376445072,0.1983619821100199,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s7050_late_20251009.log,0.4433099393939394,0.34545454545454546,1,165
pos94_sl07tp07_dd0509_s7050,1,0.05,0.09,0.03,0.7,0.5,late_20260105,2026-01-05 09:00:00,0,1.7064271196485048,0.794774274904783,2.412577153848996,0.1977876934372985,0.625,49,48,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0509_s7050_late_20260105.log,0.4410814952380951,0.3523809523809524,1,105
