case_name,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual,signal_rows,signal_days,latest_signal_date,latest_buy_date
tp060_pos90_dd0510_s7050,0.05,0.1,0.03,0.7,0.5,4.93834544976645,1.8637877359013266,0.38291874095088924,0.37132628775510196,0.5069009321993908,1.0467409679164859,0.19487354369100504,1.6408882221940555,1.8285598437854949,496,496,20260622,20260623
tp060_pos90_dd0510_s7555,0.05,0.1,0.03,0.75,0.55,5.515619173872295,1.8691419120786434,0.3989383569055852,0.3851119102040816,0.46533376005609617,0.9348676831098047,0.20640785637032494,1.6791500158981005,1.9082321410242205,496,496,20260622,20260623
tp060_pos90_dd0610_s7050,0.06,0.1,0.03,0.7,0.5,5.50947690600443,1.8926260216945456,0.39060879692373757,0.3733802081632652,0.5452685972250566,1.1125428823963035,0.20257171355708328,1.7214293167083445,1.890049987350191,496,496,20260622,20260623
tp060_pos90_dd0611_s7050,0.06,0.11,0.03,0.7,0.5,5.932463053274865,1.9052935171819414,0.39055403013753537,0.37644444897959184,0.5113670230524359,1.0200704564476335,0.20786273492007945,1.6976409689034206,1.8675200412188178,496,496,20260622,20260623
tp060_pos90_dd0611_s7555,0.06,0.11,0.03,0.75,0.55,6.077958659681298,1.8677356882812743,0.40513986004385766,0.3882914836734696,0.4667178124472762,0.9112942653629064,0.21711016356185897,1.7176305050081395,1.9353550956473637,496,496,20260622,20260623
tp060_pos90_dd0612_s7050,0.06,0.12,0.03,0.7,0.5,5.874294816075387,1.9009463316163002,0.39051890591192984,0.3775624632653062,0.5113670230524359,1.0200704564476335,0.20786273492007945,1.69189145601564,1.8675200412188178,496,496,20260622,20260623
tp060_pos90_dd0712_s7050,0.07,0.12,0.03,0.7,0.5,6.1503710354113785,1.8979798997358837,0.3725054702795722,0.37800169387755106,0.5113670230524359,1.0200704564476335,0.20786273492007945,1.69189145601564,1.8497955486479891,496,496,20260622,20260623
