variant,reason,full_annual,full_sharpe,full_max_drawdown,late_min_annual
base,原始信号,6.1503710354113785,1.8979798997358837,0.3725054702795722,1.69189145601564
drop_top_1pct,去最高 1% 代理信号 5 条,5.461665206733191,1.8461637866355007,0.3725054702795722,1.69189145601564
drop_top_day,去最高代理信号日 20240925,6.1503710354113785,1.8979798997358837,0.3725054702795722,1.69189145601564
drop_top_month,去最高代理月份 202409,5.375865646507128,1.867501948894684,0.39039852545094705,1.69189145601564
drop_top_stock,去最高代理股票 300573.SZ,5.754743752679318,1.8804588694814188,0.39056098816587154,1.69189145601564
