signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,pred_5d,pred_10d,rank_5d,rank_10d,amount,turnover_rate,total_mv,atr_qfq,close,target_pct,holding_days,max_holding_days,raw_target_pct
20240604,20240605,SZSE.300266,300266.SZ,兴源环境,1,1.0079939784131795,1.000810641923878,1.0097898125355047,1.000810641923878,1.0097898125355047,106088.109,5.336,201994.9508,,1.3000000486897854,0.26400,5,5,0.24000
20240604,20240605,SHSE.600022,600022.SH,山东钢铁,2,1.0067184245408065,0.9945086157924635,1.0097708767278923,0.9945086157924635,1.0097708767278923,42302.026,0.3264,1294560.796,,1.2099999646653268,0.24200,5,5,0.22000
20240604,20240605,SHSE.605258,605258.SH,协和电子,3,0.9953796629426246,0.9935618254118538,0.9958341223253172,0.9935618254118538,0.9958341223253172,40944.302,1.7916,228536.0,,25.01377376152969,0.20900,5,5,0.19000
20240604,20240605,SZSE.300551,300551.SZ,古鳌科技,4,0.9946222306381368,0.9950766900208294,0.9945086157924635,0.9950766900208294,0.9945086157924635,158710.069,8.3116,219207.3633,,6.3399999467286765,0.17600,5,5,0.16000
20240604,20240605,SHSE.603863,603863.SH,松炀资源,5,0.9944328725620148,0.9956447642491952,0.9941298996402197,0.9956447642491952,0.9941298996402197,223794.318,3.9759,550099.2,,26.880000432332356,0.15400,5,5,0.14000
20240605,20240606,SZSE.300065,300065.SZ,海兰信,1,1.0078114685844057,1.0000111657834974,1.0097615442846328,1.0000111657834974,1.0097615442846328,71961.944,1.6886,463653.955,,6.410000145034208,0.26400,5,5,0.24000
20240605,20240606,SHSE.600006,600006.SH,东风股份,2,1.0077137395912188,1.000241672975019,1.0095817562452687,1.000241672975019,1.0095817562452687,227322.222,1.6958,1324000.0,,6.59109185009197,0.24200,5,5,0.22000
20240605,20240606,SHSE.600022,600022.SH,山东钢铁,3,1.0075170325510978,0.9979182437547313,1.0099167297501892,0.9979182437547313,1.0099167297501892,98423.959,0.7752,1251765.3978,,1.1699999658334153,0.20900,5,5,0.19000
20240605,20240606,SHSE.603119,603119.SH,浙江荣泰,4,1.0073558856926572,1.0006174299772899,1.009040499621499,1.0006174299772899,1.009040499621499,38706.954,2.1682,699440.0,,14.59217592070473,0.17600,5,5,0.16000
20240605,20240606,SZSE.301177,301177.SZ,迪阿股份,5,1.0071742051476156,1.0008066805450417,1.0087660862982588,1.0008066805450417,1.0087660862982588,20094.984,2.2905,867621.69,,20.377793483886855,0.15400,5,5,0.14000
20240606,20240607,SZSE.300102,300102.SZ,乾照光电,1,1.0079628311884936,1.000609008327025,1.0098012869038608,1.000609008327025,1.0098012869038608,197534.714,3.4977,557459.7836,,6.0271268330837495,0.26400,5,5,0.24000
20240606,20240607,SZSE.300327,300327.SZ,中颖电子,2,1.007895457986374,1.0009988644965935,1.009619606358819,1.0009988644965935,1.009619606358819,298499.455,4.1109,711418.9909,,20.417421618432495,0.24200,5,5,0.22000
20240606,20240607,SZSE.300620,300620.SZ,光库科技,3,1.007690234670704,1.0007221801665405,1.0094322482967448,1.0007221801665405,1.0094322482967448,244164.848,2.6208,937497.0919,,37.406307137676315,0.20900,5,5,0.19000
20240606,20240607,SHSE.688536,688536.SH,思瑞浦,4,1.0074776684330053,1.0004314912944738,1.0092392127176382,1.0004314912944738,1.0092392127176382,133788.922,1.0307,1276288.8985,,96.19848539014535,0.17600,5,5,0.16000
20240606,20240607,SZSE.002139,002139.SZ,拓邦股份,5,1.0071219909159728,1.0001746782740348,1.0088588190764571,1.0001746782740348,1.0088588190764571,154827.143,1.4594,1224391.9582,,9.710453618407202,0.15400,5,5,0.14000
20240607,20240611,SZSE.002368,002368.SZ,太极股份,1,1.0078946032948306,1.0009878810831283,1.009621283847756,1.0009878810831283,1.009621283847756,149795.687,1.1953,1251448.4223,,19.82697332489864,0.26400,5,5,0.24000
20240607,20240611,SHSE.600409,600409.SH,三友化工,2,1.0073561825411854,0.9977277030865367,1.0097633024048476,0.9977277030865367,1.0097633024048476,83739.741,0.7523,1118877.4008,,5.258406011922846,0.24200,5,5,0.22000
20240607,20240611,SZSE.002701,002701.SZ,奥瑞金,3,1.006959288013634,0.9954554061730733,1.009835258473774,0.9954554061730733,1.009835258473774,65567.373,0.5749,1139954.3731,,4.116943401261985,0.20900,5,5,0.19000
20240607,20240611,SZSE.300165,300165.SZ,天瑞仪器,4,1.0060533989774663,0.9986744934671464,1.0078981253550463,0.9986744934671464,1.0078981253550463,89210.297,9.7628,113472.185,,2.2899999571781535,0.17600,5,5,0.16000
20240607,20240611,SZSE.300287,300287.SZ,飞利信,5,0.9967051694754782,0.996402196553683,0.996780912705927,0.996402196553683,0.996780912705927,177369.498,8.0669,242561.2736,,1.690000042642635,0.15400,5,5,0.14000
20240611,20240612,SZSE.002368,002368.SZ,太极股份,1,1.0082,1.001,1.01,1.001,1.01,314943.928,2.4374,1328105.8705,,21.041474180955678,0.26400,5,5,0.24000
20240611,20240612,SZSE.002408,002408.SZ,齐翔腾达,2,1.0077061162658587,1.000810452565802,1.009430032190873,1.000810452565802,1.009430032190873,53508.986,0.3359,1646004.8585,,5.686034098940546,0.24200,5,5,0.22000
20240611,20240612,SHSE.603863,603863.SH,松炀资源,3,1.0060579435712933,0.9986744934671464,1.00790380609733,0.9986744934671464,1.00790380609733,309842.665,8.3397,360797.95,,17.63000028355727,0.20900,5,5,0.19000
20240611,20240612,SZSE.300165,300165.SZ,天瑞仪器,4,1.0006816890740389,0.9767089566370005,1.0066748721832985,0.9767089566370005,1.0066748721832985,65616.567,7.2838,112976.6733,,2.279999957365148,0.17600,5,5,0.16000
20240611,20240612,SZSE.300287,300287.SZ,飞利信,5,0.996099223631888,0.9971596288581708,0.9958341223253172,0.9971596288581708,0.9958341223253172,129653.502,5.9164,248302.3688,,1.730000043651928,0.15400,5,5,0.14000
20240612,20240613,SZSE.002368,002368.SZ,太极股份,1,1.0080485903500473,1.0009998107852411,1.0098107852412488,1.0009998107852411,1.0098107852412488,272254.947,2.0659,1333091.7208,,21.120466106552886,0.26400,5,5,0.24000
20240612,20240613,SZSE.002861,002861.SZ,瀛通通讯,2,1.0068071901608326,0.9973509933774835,1.0091712393566699,0.9973509933774835,1.0091712393566699,22217.691,2.1655,133619.8071,,8.532733255817044,0.24200,5,5,0.22000
20240612,20240613,SHSE.600022,600022.SH,山东钢铁,3,1.0065287795648061,1.0002427625354777,1.0081002838221382,1.0002427625354777,1.0081002838221382,20085.123,0.1642,1219668.8492,,1.1399999667094816,0.20900,5,5,0.19000
20240612,20240613,SHSE.603863,603863.SH,松炀资源,4,1.0060987701040682,0.9988647114474929,1.007907284768212,0.9988647114474929,1.007907284768212,345365.37,10.3841,324779.55,,15.870000255249794,0.17600,5,5,0.16000
20240612,20240613,SZSE.300287,300287.SZ,飞利信,5,0.9951561021759698,0.9909176915799432,0.9962157048249763,0.9909176915799432,0.9962157048249763,127479.07,5.4682,264090.3807,,1.8400000464274844,0.15400,5,5,0.14000
20240613,20240614,SZSE.002368,002368.SZ,太极股份,1,1.008199886492622,1.0009994324631102,1.01,1.0009994324631102,1.01,218084.235,1.6584,1333714.952,,21.13034009725253,0.26400,5,5,0.24000
20240613,20240614,SZSE.002861,002861.SZ,瀛通通讯,2,1.0072039349224369,0.9984865682936057,1.0093832765796444,0.9984865682936057,1.0093832765796444,15648.539,1.3864,146997.3431,,9.386999914723058,0.24200,5,5,0.22000
20240613,20240614,SHSE.603863,603863.SH,松炀资源,3,1.006678547105562,1.0002410139992433,1.0082879303821415,1.0002410139992433,1.0082879303821415,482535.986,14.6539,357318.9,,17.460000280823024,0.20900,5,5,0.19000
20240613,20240614,SZSE.300287,300287.SZ,飞利信,4,0.9958380628074159,0.9958380628074158,0.9958380628074158,0.9958380628074158,0.9958380628074158,110036.366,4.685,256914.0116,,1.7900000451658677,0.17600,5,5,0.16000
20240613,20240614,SZSE.300165,300165.SZ,天瑞仪器,5,0.9956488838441165,0.9964055996973137,0.9954597048808173,0.9964055996973137,0.9954597048808173,44076.356,4.6979,114958.7202,,2.319999956617168,0.15400,5,5,0.14000
20240614,20240617,SZSE.002368,002368.SZ,太极股份,1,1.0081998865355524,1.000999432677761,1.01,1.000999432677761,1.01,296645.169,2.2011,1358644.2035,,21.52529972523856,0.26400,5,5,0.24000
20240614,20240617,SHSE.600179,600179.SH,安通控股,2,1.0078580181543115,1.0008105143721633,1.0096198940998486,1.0008105143721633,1.0096198940998486,36041.677,0.3785,1079039.3796,,2.5499999919206995,0.24200,5,5,0.22000
20240614,20240617,SHSE.603863,603863.SH,松炀资源,3,1.005874432677761,0.9984871406959153,1.0077212556732225,0.9984871406959153,1.0077212556732225,406795.027,10.7335,393132.65,,19.210000308969665,0.20900,5,5,0.19000
20240614,20240617,SZSE.300511,300511.SZ,雪榕生物,4,1.0051694402420575,0.9960287443267776,1.0074546142208773,0.9960287443267776,1.0074546142208773,99357.509,8.8124,132176.9345,,2.65,0.17600,5,5,0.16000
20240614,20240617,SZSE.300266,300266.SZ,兴源环境,5,0.9995733736762482,0.9689863842662633,1.0072201210287444,0.9689863842662633,1.0072201210287444,24742.13,1.2999,189564.4923,,1.220000045693491,0.15400,5,5,0.14000
20240617,20240618,SZSE.002368,002368.SZ,太极股份,1,1.0081999621713638,1.0009998108568186,1.01,1.0009998108568186,1.01,292887.942,2.1377,1392298.6929,,22.0584952230197,0.26400,5,5,0.24000
20240617,20240618,SZSE.300266,300266.SZ,兴源环境,2,1.000347266881029,0.9703990921127293,1.0078343105731038,0.9703990921127293,1.0078343105731038,23565.67,1.253,186456.8777,,1.2000000449444175,0.24200,5,5,0.22000
20240617,20240618,SZSE.300511,300511.SZ,雪榕生物,3,0.9964062795536222,0.9956497068280689,0.9965954227350104,0.9956497068280689,0.9965954227350104,65968.877,5.9219,133673.2772,,2.68,0.20900,5,5,0.19000
20240617,20240618,SHSE.603863,603863.SH,松炀资源,4,0.9962171363722339,0.996973709097787,0.9960279931908455,0.996973709097787,0.9960279931908455,553561.266,13.3614,396202.4,,19.360000311382233,0.17600,5,5,0.16000
20240617,20240618,SZSE.300165,300165.SZ,天瑞仪器,5,0.995422735010403,0.9960279931908455,0.9952714204652923,0.9960279931908455,0.9952714204652923,43181.46,4.6491,113967.6968,,2.299999956991158,0.15400,5,5,0.14000
20240618,20240619,SZSE.002368,002368.SZ,太极股份,1,1.0082,1.001,1.01,1.001,1.01,210292.769,1.5091,1410372.4002,,22.34484095330957,0.26400,5,5,0.24000
20240618,20240619,SHSE.600022,600022.SH,山东钢铁,2,1.0040824664270853,0.9901645545678078,1.0075619443919048,0.9901645545678078,1.0075619443919048,61019.589,0.4742,1294560.796,,1.2099999646653268,0.24200,5,5,0.22000
20240618,20240619,SZSE.300266,300266.SZ,兴源环境,3,0.9983294874219784,0.9653867978059391,1.0065651598259882,0.9653867978059391,1.0065651598259882,40737.245,2.0624,194225.9143,,1.2500000468171013,0.20900,5,5,0.19000
20240618,20240619,SHSE.603863,603863.SH,松炀资源,4,0.996675619443919,0.9563079250993002,1.0067675430300738,0.9563079250993002,1.0067675430300738,290799.768,7.7235,375942.05,,18.37000029545928,0.17600,5,5,0.16000
20240618,20240619,SZSE.300165,300165.SZ,天瑞仪器,5,0.9944770191034614,0.9958388500094572,0.9941365613769624,0.9958388500094572,0.9941365613769624,38356.611,4.0934,117436.2788,,2.369999955682194,0.15400,5,5,0.14000
20240619,20240620,SZSE.002368,002368.SZ,太极股份,1,1.0080487140695915,1.001,1.0098108925869893,1.001,1.0098108925869893,154424.734,1.1128,1390428.9991,,22.02887325092075,0.26400,5,5,0.24000
20240619,20240620,SHSE.600022,600022.SH,山东钢铁,2,1.0032783661119515,0.9846822995461422,1.0079273827534039,0.9846822995461422,1.0079273827534039,43774.991,0.3402,1283861.9465,,1.199999964957349,0.24200,5,5,0.22000
