variant,reason,full_annual,full_sharpe,full_max_drawdown,late_min_annual
base,原始信号,5.054102253982817,1.8770238311954652,0.39660716064977325,1.7064271196485048
drop_top_1pct,去最高 1% 代理信号 5 条,4.353828190164276,1.8140423876809484,0.39660716064977325,1.7064271196485048
drop_top_day,去最高代理信号日 20240925,5.054102253982817,1.8770238311954652,0.39660716064977325,1.7064271196485048
drop_top_month,去最高代理月份 202409,4.743231129540993,1.8631169149966857,0.39652473624192497,1.7064271196485048
drop_top_stock,去最高代理股票 300573.SZ,5.030963543453726,1.8761403036169715,0.39653199522022403,1.7064271196485048
