tag,start,end,returncode,annual,pnl_ratio,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_file,log_file,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points,slice
time_full,2024-06-05 09:00:00,2026-06-23 15:30:00,0,5.054102253982817,10.371294762282549,1.8770238311954652,0.39660716064977325,0.5891089108910891,203,202,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\time_full.log,0.38578017755102073,0.23469387755102042,1,490,full
time_slice_2024h2,2024-06-05 09:00:00,2024-12-31 15:30:00,0,2.6164191689438847,1.5053370561047008,1.2754055517193803,0.34736346280098074,0.5818181818181818,55,55,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\time_slice_2024h2.log,0.40035483823529394,0.3088235294117647,1,136,slice_2024h2
time_slice_2025h1,2025-01-02 09:00:00,2025-06-30 15:30:00,0,1.1194361773923494,0.552050717618145,1.4893893725063603,0.302783863643916,0.5641025641025641,40,39,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\time_slice_2025h1.log,0.341493891891892,0.11711711711711711,1,111,slice_2025h1
time_slice_2025h2,2025-07-01 09:00:00,2025-12-31 15:30:00,0,1.796695584563916,0.9057314727664673,2.3059999728071223,0.14361090935791235,0.5689655172413793,59,58,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\time_slice_2025h2.log,0.42412658333333336,0.2916666666666667,1,120,slice_2025h2
time_slice_2026ytd,2026-01-05 09:00:00,2026-06-23 15:30:00,0,1.7064271196485048,0.794774274904783,2.412577153848996,0.1977876934372985,0.625,49,48,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\time_slice_2026ytd.log,0.4410814952380951,0.3523809523809524,1,105,slice_2026ytd
time_slice_recent120,2025-12-24 09:00:00,2026-06-23 15:30:00,0,2.417891342295441,1.2056334912267677,2.845368415123893,0.19777789249571118,0.6470588235294118,52,51,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\time_slice_recent120.log,0.4412743423423423,0.36036036036036034,1,111,slice_recent120
time_slice_recent60,2026-03-24 09:00:00,2026-06-23 15:30:00,0,0.5582670723794133,0.14071389221618089,1.122179751864926,0.19731717639601587,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\time_slice_recent60.log,0.44978805454545456,0.32727272727272727,1,55,slice_recent60
