signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,entry_score,pred_1d,pred_3d,pred_5d,pred_10d,rank_1d,rank_3d,rank_5d,rank_10d,amount,turnover_rate,total_mv,atr_qfq,target_pct,holding_days,max_holding_days,score_exit_entry_ratio,min_holding_days_before_score_exit,filter_name,entry_weight_name,dynamic_hold_name,score_continue_entry_ratio,exit_score_basis,execution_variant,signal_stop_loss_pct,strategy_variant,signal_take_profit_pct,proxy_weighted_contribution
20240604,20240605,SZSE.300266,300266.SZ,兴源环境,1,1.0,0.9999772727272728,0.762544972543079,0.9999772770308654,0.999810641923878,1.0,0.7625,1.0,0.999810606060606,1.0,106088.109,5.336,201994.9508,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,-0.007460317460317538
20240605,20240606,SHSE.600006,600006.SH,东风股份,1,0.9999998566826498,0.999575998485709,0.991672975018925,0.9995760787282362,0.9992429977289932,0.9996214988644966,0.9916713988264244,0.999621427219383,0.9992428544387658,0.999621427219383,227322.222,1.6958,1324000.0,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,-0.01283763277693484
20240606,20240607,SZSE.300102,300102.SZ,乾照光电,1,1.0,0.9999545712663259,0.9981074943224829,0.9999545798637396,0.9996214988644966,1.0,0.9981071360969146,1.0,0.999621427219383,1.0,197534.714,3.4977,557459.7836,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,0.043076923076923075
20240607,20240611,SZSE.002368,002368.SZ,太极股份,1,0.9999998565197429,0.9997045454545455,0.8894148835447832,0.9996667297860253,1.0,0.9996212838477561,0.7865530303030303,1.0,1.0,0.9996212121212121,149795.687,1.1953,1251448.4223,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,0.05526656701544591
20240611,20240612,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.8895095625828442,1.0,1.0,1.0,0.7867424242424242,1.0,1.0,1.0,314943.928,2.4374,1328105.8705,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,0.02069320843091333
20240612,20240613,SZSE.002368,002368.SZ,太极股份,1,0.9999999641842227,0.9998334595003786,0.993755912961211,0.9998334910122989,1.0,0.9998107852412488,0.9937547312641938,0.9998107494322483,1.0,0.9998107494322483,272254.947,2.0659,1333091.7208,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,0.04526912181303102
20240613,20240614,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9918653045781309,1.0,1.0,1.0,0.9918637653736991,1.0,1.0,1.0,218084.235,1.6584,1333714.952,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,0.06060235294117662
20240614,20240617,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9981089258698941,1.0,1.0,1.0,0.9981085681861169,1.0,1.0,1.0,296645.169,2.2011,1358644.2035,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,0.01723189734188806
20240617,20240618,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9986759977302818,1.0,1.0,1.0,0.998675747256905,1.0,1.0,1.0,292887.942,2.1377,1392298.6929,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,-0.017783783783783706
20240618,20240619,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9869491204842066,1.0,1.0,1.0,0.9869466515323496,1.0,1.0,1.0,210292.769,1.5091,1410372.4002,nan,0.94000,2,3,0.97000,1,liq_amt10w_mv20w,w78_5d12_3d10,h2_m3_c098,0.98000,10d_core_score_table,force_sell_mkt,0.07000,dynamic_h2_m3_dd0509_pos94_sl0.07_tp0.07,0.07000,-0.04197170645446515
