case_name,stop_loss,take_profit,start_name,start,returncode,annual,pnl_ratio,sharpe,max_drawdown,win_ratio,open_count,close_count,log_file,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
pos94_sl05_tp07,0.05,0.07,recent60_20260324,2026-03-24 09:00:00,0,0.5620201852636947,0.14165988231304083,1.1288947867572432,0.1973150147702776,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl05_tp07_recent60_20260324.log,0.44990305454545454,0.32727272727272727,1,55
pos94_sl05_tp07,0.05,0.07,late_20250701,2025-07-01 09:00:00,0,2.9159957066775624,2.8600725013440202,2.426402247082391,0.1982699243467645,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl05_tp07_late_20250701.log,0.4330198441558444,0.3246753246753247,1,231
pos94_sl05_tp07,0.05,0.07,late_20251009,2025-10-09 09:00:00,0,1.9768074340239423,1.397304980762129,2.4479204822181466,0.1983187251464703,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl05_tp07_late_20251009.log,0.4432766787878789,0.34545454545454546,1,165
pos94_sl05_tp07,0.05,0.07,late_20260105,2026-01-05 09:00:00,0,1.7093962921228216,0.7961571771530951,2.4161516245696433,0.1977213660947742,0.625,49,48,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl05_tp07_late_20260105.log,0.4410974476190475,0.3523809523809524,1,105
pos94_sl06_tp05,0.06,0.05,full_20240605,2024-06-05 09:00:00,0,4.159382914550857,8.535281652050937,1.7773639774939283,0.39662205904770625,0.5882352941176471,205,204,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl06_tp05_full_20240605.log,0.37674004693877555,0.22857142857142856,1,490
pos94_sl06_tp05,0.06,0.05,recent60_20260324,2026-03-24 09:00:00,0,0.5582670723794133,0.14071389221618089,1.122179751864926,0.19731717639601587,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl06_tp05_recent60_20260324.log,0.44978805454545456,0.32727272727272727,1,55
pos94_sl06_tp05,0.06,0.05,late_20250701,2025-07-01 09:00:00,0,2.832009926837499,2.77769740769267,2.397662008312863,0.19838075130147836,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl06_tp05_late_20250701.log,0.4343654675324674,0.329004329004329,1,231
pos94_sl06_tp05,0.06,0.05,late_20251009,2025-10-09 09:00:00,0,1.8487805177596432,1.306809242690378,2.349820317570796,0.19817780455490416,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl06_tp05_late_20251009.log,0.4431907272727272,0.3515151515151515,1,165
pos94_sl06_tp05,0.06,0.05,late_20260105,2026-01-05 09:00:00,0,1.7064271196485048,0.794774274904783,2.412577153848996,0.1977876934372985,0.625,49,48,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl06_tp05_late_20260105.log,0.4410814952380951,0.3523809523809524,1,105
pos94_sl06_tp06,0.06,0.06,full_20240605,2024-06-05 09:00:00,0,4.8712844383785665,9.996142587248073,1.8425187985584124,0.3965911706056802,0.5841584158415841,203,202,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\logs\pos94_sl06_tp06_full_20240605.log,0.384073957142857,0.23265306122448978,1,490
