tag,start,end,returncode,annual,pnl_ratio,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_file,log_file,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points,anchor,offset,start_date,start_time
nearby_20250701_m3_20250626,2025-06-26 09:00:00,2026-06-23 15:30:00,0,2.8842991378762233,2.8684947590385454,2.4112933490454904,0.19823035840974235,0.6018518518518519,109,108,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20250701_m3_20250626.log,0.4355174615384615,0.32905982905982906,1,234,20250701,-3,20250626,2025-06-26 09:00:00
nearby_20250701_m2_20250627,2025-06-27 09:00:00,2026-06-23 15:30:00,0,3.0864417883263013,3.061073773627729,2.4699205317538326,0.19810874777706244,0.6018518518518519,109,108,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20250701_m2_20250627.log,0.43391433905579385,0.3261802575107296,1,233,20250701,-2,20250627,2025-06-27 09:00:00
nearby_20250701_m1_20250630,2025-06-30 09:00:00,2026-06-23 15:30:00,0,2.8887736600518985,2.8412869697496754,2.415333299687073,0.19840058855464382,0.6018518518518519,109,108,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20250701_m1_20250630.log,0.43511412931034477,0.3275862068965517,1,232,20250701,-1,20250630,2025-06-30 09:00:00
nearby_20250701_0_20250701,2025-07-01 09:00:00,2026-06-23 15:30:00,0,2.9138980144809405,2.8580150388607577,2.4246976410566354,0.19827825168518995,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20250701_0_20250701.log,0.43303738095238103,0.3246753246753247,1,231,20250701,0,20250701,2025-07-01 09:00:00
nearby_20250701_1_20250702,2025-07-02 09:00:00,2026-06-23 15:30:00,0,3.113137178503444,3.0449040348650125,2.483176344339251,0.19820554574951085,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20250701_1_20250702.log,0.43548818260869565,0.32608695652173914,1,230,20250701,1,20250702,2025-07-02 09:00:00
nearby_20250701_2_20250703,2025-07-03 09:00:00,2026-06-23 15:30:00,0,2.9033435122950726,2.8317542202110846,2.4307029689905213,0.19805641887055214,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20250701_2_20250703.log,0.43248822270742354,0.3231441048034934,1,229,20250701,2,20250703,2025-07-03 09:00:00
nearby_20250701_3_20250704,2025-07-04 09:00:00,2026-06-23 15:30:00,0,2.8930785806065074,2.8138161537405755,2.4315946039082954,0.1981452394978286,0.5943396226415094,107,106,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20250701_3_20250704.log,0.43026345614035105,0.3201754385964912,1,228,20250701,3,20250704,2025-07-04 09:00:00
nearby_20251009_m3_20250926,2025-09-26 09:00:00,2026-06-23 15:30:00,0,1.6211863330057916,1.203675332176903,2.248584680885717,0.1977791972570658,0.5769230769230769,79,78,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20251009_m3_20250926.log,0.44488472023809533,0.35119047619047616,1,168,20251009,-3,20250926,2025-09-26 09:00:00
nearby_20251009_m2_20250929,2025-09-29 09:00:00,2026-06-23 15:30:00,0,1.5103598091243606,1.1089765173844621,2.177240987474252,0.19804790607660452,0.5714285714285714,78,77,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20251009_m2_20250929.log,0.44747580239520957,0.3532934131736527,1,167,20251009,-2,20250929,2025-09-29 09:00:00
nearby_20251009_m1_20250930,2025-09-30 09:00:00,2026-06-23 15:30:00,0,1.5663889699489266,1.1458242602092148,2.2190676905537,0.1976402274142972,0.5789473684210527,77,76,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_dd0509_exit_risk_20260624\signals\pos94_sl07_tp07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0509_pos94_tp070_validation_20260624\logs\nearby_20251009_m1_20250930.log,0.44443660240963856,0.3493975903614458,1,166,20251009,-1,20250930,2025-09-30 09:00:00
