asset,table,max_total_mv,min_amount,min_turnover_rate,top_k,holding_days,max_positions,max_atr_ratio,direction,target_total_pct,weight_mode,open_score_exit,max_daily_sells,score_continue_entry_ratio,db_path,manifest_path,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
rank_10d60_5d40,rank_10d60_5d40,200000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d60_5d40_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d60_5d40_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.7578887577224954,1.27053866419251,0.2842210201925153,0.5811088295687885,495,487,2470,494,0.760562295774649,0.323943661971831,8,497
rank_10d70_5d30,rank_10d70_5d30,200000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d70_5d30_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d70_5d30_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.7510992203107691,1.2290445431961239,0.2849735681669381,0.5869120654396728,496,489,2470,494,0.7598073561368204,0.2937625754527163,8,497
rank_min_5d10d,rank_min_5d10d,200000.0,20000.0,0.5,5,5,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_min_5d10d_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_min_5d10d_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.6048694208107033,1.1288823127881733,0.22964051471747246,0.5749486652977412,497,487,2470,494,0.809358977867203,0.44668008048289737,10,497
rank_min_5d10d,rank_min_5d10d,200000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_min_5d10d_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_min_5d10d_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.5697604435295588,1.062114603858202,0.24994975789047336,0.5605749486652978,494,487,2470,494,0.7795788732394369,0.46277665995975853,8,497
rank_min_5d10d,rank_min_5d10d,300000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_min_5d10d_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_min_5d10d_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.log,0.48408473197596696,0.9489987887957211,0.2809226574334078,0.5576131687242798,495,486,2470,494,0.7352377303822942,0.06438631790744467,9,497
std_10d,stock_predict_data_model_agent_10d_tune_20260620_executable_10d_open_return_d4_l4_fs160_gate2_score_20240604_20260618,300000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\model_predictions\MODEL_PREDICTIONS.db,D:\work\quant\quant_mcp\quant\main\config\prediction_manifests\executable_10d_open_return_l4_formal_20260617.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\std_10d_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\std_10d_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.log,0.44611130544431504,0.9411970172736485,0.26004462758168523,0.5473251028806584,495,486,2470,494,0.7323924708249493,0.06438631790744467,9,497
rank_10d50_5d50,rank_10d50_5d50,300000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d50_5d50_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.log,0.43680393118914485,0.8421029846100444,0.29366651252240344,0.5505154639175258,494,485,2470,494,0.7337930865191145,0.06438631790744467,9,497
rank_10d60_5d40,rank_10d60_5d40,300000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d60_5d40_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d60_5d40_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.log,0.4074033834656202,0.833199809821316,0.32234869194929144,0.5525773195876289,494,485,2470,494,0.7353422273641854,0.06237424547283702,9,497
std_5d,stock_predict_data_model_agent_5d_tune_20260620_executable_5d_open_return_d4_l4_fs160_gate1_score_20240604_20260618,300000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\model_predictions\MODEL_PREDICTIONS.db,D:\work\quant\quant_mcp\quant\main\config\prediction_manifests\prod_liq_prime_one_v20260612_l4_formal.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\std_5d_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\std_5d_top_tk5_h5_mp8_mv300000p0_amt20000p0_turn0p5_atrnone.log,0.4090374169204699,0.8111528239728819,0.2373557514498551,0.522633744855967,495,486,2470,494,0.8722365452716299,0.9798792756539235,9,497
std_10d,stock_predict_data_model_agent_10d_tune_20260620_executable_10d_open_return_d4_l4_fs160_gate2_score_20240604_20260618,500000.0,20000.0,2.0,8,6,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\model_predictions\MODEL_PREDICTIONS.db,D:\work\quant\quant_mcp\quant\main\config\prediction_manifests\executable_10d_open_return_l4_formal_20260617.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\std_10d_top_tk8_h6_mp10_mv500000p0_amt20000p0_turn2p0_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\std_10d_top_tk8_h6_mp10_mv500000p0_amt20000p0_turn2p0_atrnone.log,0.4178470828021947,0.7683435347140021,0.27106108216367836,0.49586776859504134,496,484,3952,494,0.7845551790744458,0.23138832997987926,11,497
