primary_asset,primary_max_total_mv,primary_min_amount,primary_min_turnover_rate,primary_limit,fallback_asset,fallback_max_total_mv,fallback_min_amount,fallback_min_turnover_rate,max_positions,holding_days,open_score_exit,max_daily_sells,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
rank_10d90_5d10,150000.0,10000.0,0.3,5,rank_10d80_5d20,200000.0,20000.0,0.5,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.log,0.9925341171406321,1.5036793367802892,0.20739364533592775,0.563265306122449,499,490,2463,494,0.7139458953722334,0.08048289738430583,8,497
rank_10d90_5d10,150000.0,10000.0,0.3,5,rank_10d80_5d20,200000.0,20000.0,0.5,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.log,0.9377234641002464,1.4933414704419263,0.25557817549045675,0.588957055214724,499,489,2463,494,0.7402150140845075,0.3702213279678068,10,497
rank_10d90_5d10,150000.0,10000.0,0.3,3,rank_10d80_5d20,200000.0,20000.0,0.5,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.log,0.9477074151689809,1.4882688219503843,0.1824811871660992,0.5845213849287169,500,491,2449,494,0.7575382837022128,0.09859154929577464,9,497
rank_10d90_5d10,150000.0,10000.0,0.3,3,rank_10d50_5d50,200000.0,20000.0,0.5,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.log,0.9571628611646581,1.480774659128305,0.24361228725180478,0.5873983739837398,502,492,2453,494,0.8402130040241446,0.7847082494969819,10,497
rank_10d80_5d20,150000.0,10000.0,0.3,2,rank_10d80_5d20,200000.0,20000.0,0.5,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d80_5d20_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d80_5d20_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.log,0.8502024485077233,1.4486439134417612,0.2262854759103594,0.5914634146341463,499,492,2441,494,0.7276665110663978,0.04627766599597585,7,497
rank_10d90_5d10,150000.0,10000.0,0.3,5,rank_10d50_5d50,200000.0,20000.0,0.5,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.log,0.9567386000471302,1.442102969158475,0.20727011570984488,0.5591836734693878,499,490,2464,494,0.7126935271629776,0.08651911468812877,8,497
rank_10d80_5d20,150000.0,10000.0,0.3,2,rank_10d80_5d20,200000.0,20000.0,0.5,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d80_5d20_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d80_5d20_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.log,0.8845267262237472,1.3373132215168744,0.18994370268996616,0.5926680244399185,500,491,2441,494,0.7861386519114693,0.27565392354124746,9,497
rank_10d90_5d10,150000.0,10000.0,0.3,2,rank_10d80_5d20,200000.0,20000.0,0.5,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.log,0.9301051172214577,1.2975391361479447,0.18666121383377687,0.5824847250509165,501,491,2441,494,0.7842954849094566,0.25553319919517103,10,497
rank_10d90_5d10,150000.0,10000.0,0.3,3,rank_10d80_5d20,200000.0,20000.0,0.5,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.log,0.6961871092782491,1.2379604137202238,0.26724950186587265,0.5478615071283096,498,491,2449,494,0.6933523722334006,0.2917505030181087,7,497
rank_10d90_5d10,150000.0,10000.0,0.3,3,rank_10d50_5d50,200000.0,20000.0,0.5,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.log,0.6273964282274018,1.2103316011911962,0.2307416585876264,0.5408163265306123,497,490,2453,494,0.6673592555331991,0.07645875251509054,7,497
