name,eligible,disqualification_reason,mode,rank_max,pred_min,primary_count_min,avg_pred_min,max_positions,holding_days,target_pct,extra_env,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,min_signal_target_pct,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
strongday_top4_mp5_t21_h7,True,,equal,4,,2,,5,7,0.21,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_mp5_t21_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_mp5_t21_h7.log,1.8224989794611586,2.4384028811532845,0.22478358184235472,0.5597826086956522,372,368,1636,409,0.20999999999999674,0.21,0.21,0.5916055240963854,0.1566265060240964,5,498
strongday_top4_gap1010_t22_h7,True,,equal,4,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_gap1010_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_gap1010_t22_h7.log,1.7812619940358698,2.2528278143378975,0.2642717627972384,0.5779816513761468,331,327,1388,347,0.22000000000000353,0.22,0.22,0.6057672489959842,0.20281124497991967,5,498
strongday_top4_t22_idx_mild,True,,equal,4,,2,,5,7,0.22,GM_INDEX_RISK_BUY_SCALE=0.85;GM_INDEX_RISK_CC_THRESHOLD=-0.025;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.025,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_t22_idx_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_t22_idx_mild.log,1.7420392793234705,2.245831161161523,0.30802986594100595,0.5577889447236181,402,398,1636,409,0.22000000000000713,0.22,0.22,0.5939943775100398,0.12650602409638553,5,498
strongday_top4_mp5_t20_h7,True,,equal,4,,2,,5,7,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_mp5_t20_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_mp5_t20_h7.log,1.6469767003888627,2.4458967598429164,0.21490667093504848,0.5597826086956522,372,368,1636,409,0.19999999999999388,0.2,0.2,0.5652602530120484,0.07028112449799197,5,498
avg225_top5_mp5_t20_h7,True,,equal,5,,,2.25,5,7,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\avg225_top5_mp5_t20_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\avg225_top5_mp5_t20_h7.log,1.589944975689926,2.264844387089683,0.2877610656001236,0.5636856368563685,373,369,1968,399,0.199999999999993,0.2,0.2,0.6187891405622493,0.14859437751004015,5,498
strongday_top5_mp5_t18_h7,True,,equal,5,,2,,5,7,0.18,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top5_mp5_t18_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top5_mp5_t18_h7.log,1.5715570355883088,2.037276173106996,0.3526876934184187,0.5826972010178118,398,393,2022,409,0.18000000000000554,0.18,0.18,0.6522912329317274,0.0963855421686747,5,498
avg230_top5_mp5_t22_h7,True,,equal,5,,,2.3,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\avg230_top5_mp5_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\avg230_top5_mp5_t22_h7.log,1.5421718880205892,2.0215446122566876,0.3130250359736459,0.559228650137741,367,363,1948,395,0.22000000000001035,0.22,0.22,0.643322046184739,0.25301204819277107,5,498
strongday_top4_t22_idx_loose,True,,equal,4,,2,,5,7,0.22,GM_INDEX_RISK_BUY_SCALE=0.85;GM_INDEX_RISK_CC_THRESHOLD=-0.035;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.035,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_t22_idx_loose.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_t22_idx_loose.log,1.5010503535888986,2.0457847722649154,0.2948620994709439,0.5616797900262467,385,381,1636,409,0.22000000000000713,0.22,0.22,0.6070612891566272,0.15863453815261044,5,498
strongday_top3_mp5_t20_h7,True,,equal,3,,2,,5,7,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top3_mp5_t20_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top3_mp5_t20_h7.log,1.4994556459164718,2.445690095787126,0.2207395406342902,0.5670391061452514,362,358,1227,409,0.1999999999999956,0.2,0.2,0.5444889718875497,0.06224899598393574,4,498
strongday_top5_t22_idx_loose,True,,equal,5,,2,,5,7,0.22,GM_INDEX_RISK_BUY_SCALE=0.85;GM_INDEX_RISK_CC_THRESHOLD=-0.035;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.035,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top5_t22_idx_loose.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top5_t22_idx_loose.log,1.3628938631531855,1.8799417319526035,0.2948146275210456,0.5569948186528497,390,386,2022,409,0.220000000000011,0.22,0.22,0.6497935020080319,0.26907630522088355,5,498
