name,rules_json,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,avg_day_target_sum,min_day_target_sum,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
gap_t0p03_g1p08_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p08_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p08_b0p82.log,3.0150735356908624,3.070055013695468,0.21731743737815662,0.6051873198847262,352,347,1879,382,0.1897420117083535,0.2268,0.93331214659686,0.1722,0.6013744899598396,0.20281124497991967,5,498
gap_t0p025_g1p16_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p16_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p16_b0p82.log,3.0133521573689666,3.068646487484199,0.2177424569944471,0.6051873198847262,352,347,1879,382,0.18999993081426153,0.2436,0.9345808115183256,0.1722,0.601482359437751,0.19678714859437751,5,498
gap_t0p03_g1p12_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p12_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p12_b0p82.log,3.010494673509302,3.0686269077531043,0.21575163562167715,0.6051873198847262,352,347,1879,382,0.18993751463544323,0.2352,0.9342737958115199,0.1722,0.601326654618474,0.20080321285140562,5,498
gap_t0p015_g1p08_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p08_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p08_b0p82.log,3.0249196246167975,3.068396413821491,0.21936299979806248,0.6051873198847262,352,347,1879,382,0.18944114422565034,0.2268,0.9318322251308916,0.1722,0.6013997409638556,0.20281124497991967,5,498
gap_t0p025_g1p08_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p08_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p08_b0p82.log,3.0079002764651155,3.068154321700482,0.21892544711647985,0.6051873198847262,352,347,1879,382,0.18967739222990768,0.2268,0.9329942931937182,0.1722,0.6015413955823298,0.19477911646586346,5,498
gap_t0p015_g1p12_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p12_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p12_b0p82.log,3.0226231396146006,3.0679156724630223,0.21887297608215098,0.6051873198847262,352,347,1879,382,0.18952183076104143,0.2352,0.9322291099476461,0.1722,0.6014599578313254,0.19678714859437751,5,498
gap_t0p03_g1p16_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p16_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p16_b0p82.log,3.0043592431748842,3.0670494904271974,0.21423926086303605,0.6051873198847262,352,347,1879,382,0.19011215007982846,0.2436,0.9351328010471216,0.1722,0.6011781726907633,0.20281124497991967,5,498
gap_t0p025_g1p12_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p12_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p12_b0p82.log,3.0055923767502377,3.0669923015431886,0.21835908009270616,0.6051873198847262,352,347,1879,382,0.18984799893560264,0.2352,0.933833481675394,0.1722,0.6016189497991973,0.19678714859437751,5,498
gap_t0p015_g1p16_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p16_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p16_b0p82.log,3.020061050280436,3.065769034270614,0.21866872935310155,0.6051873198847262,352,347,1879,382,0.189595391165512,0.2436,0.9325909424083784,0.1722,0.601526102409639,0.19879518072289157,5,498
gap_t0p02_g1p08_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.02}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p02_g1p08_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p02_g1p08_b0p82.log,3.0127780703915663,3.06317809030721,0.21947807908589412,0.6051873198847262,352,347,1879,382,0.18952586482171183,0.2268,0.9322489528795826,0.1722,0.6016835481927701,0.20080321285140562,5,498
